species;Phylum;Class;Order;Family;source;speciemens barcoded;speciemens;public BINs;verified by;status;BOLD taxid
Mordellistena minima;Arthropoda;Insecta;Coleoptera;Mordellidae;BOLD,FE;56;56;1;FE;;981598;1074159
Mordellistena minutula;Arthropoda;Insecta;Coleoptera;Mordellidae;FE;;;;;gap;
Mordellistena multicicatrix;Arthropoda;Insecta;Coleoptera;Mordellidae;FE;;;;;gap;
Mordellistena nana;Arthropoda;Insecta;Coleoptera;Mordellidae;FE;;;;;gap;
Mordellistena nanula;Arthropoda;Insecta;Coleoptera;Mordellidae;FE;;;;;gap;
Mordellistena nanuloides;Arthropoda;Insecta;Coleoptera;Mordellidae;BOLD,FE;4;5;0;;;725910
Mordellistena neglecta;Arthropoda;Insecta;Coleoptera;Mordellidae;FE;;;;;gap;
Mordellistena nessebaricus;Arthropoda;Insecta;Coleoptera;Mordellidae;FE;;;;;gap;
Mordellistena neuwaldeggiana;Arthropoda;Insecta;Coleoptera;Mordellidae;BOLD,FE,iNat;33;41;3;FE;;318164
Mordellistena nigritarsis;Arthropoda;Insecta;Coleoptera;Mordellidae;FE;;;;;gap;
Mordellistena nigrocapillata;Arthropoda;Insecta;Coleoptera;Mordellidae;FE;;;;;gap;
Mordellistena olympica;Arthropoda;Insecta;Coleoptera;Mordellidae;FE;;;;;gap;
Mordellistena oranensis;Arthropoda;Insecta;Coleoptera;Mordellidae;FE;;;;;gap;
Mordellistena paradohumeralis;Arthropoda;Insecta;Coleoptera;Mordellidae;FE;;;;;gap;
Mordellistena paraepisternalis;Arthropoda;Insecta;Coleoptera;Mordellidae;FE;;;;;gap;
Mordellistena paraintersecta;Arthropoda;Insecta;Coleoptera;Mordellidae;FE;;;;;gap;
Mordellistena paranana;Arthropoda;Insecta;Coleoptera;Mordellidae;FE;;;;;gap;
Mordellistena parapentas;Arthropoda;Insecta;Coleoptera;Mordellidae;FE;;;;;gap;
Mordellistena pararhenana;Arthropoda;Insecta;Coleoptera;Mordellidae;FE;;;;;gap;
Mordellistena paraweisei;Arthropoda;Insecta;Coleoptera;Mordellidae;FE;;;;;gap;
Mordellistena parvicauda;Arthropoda;Insecta;Coleoptera;Mordellidae;FE;;;;;gap;
Mordellistena parvula;Arthropoda;Insecta;Coleoptera;Mordellidae;BOLD,FE;2;12;0;FE;;515258
Mordellistena peloponnesensis;Arthropoda;Insecta;Coleoptera;Mordellidae;BOLD,FE;18;18;0;;;1023014
Mordellistena pentas;Arthropoda;Insecta;Coleoptera;Mordellidae;FE;;;;;gap;
Mordellistena permira;Arthropoda;Insecta;Coleoptera;Mordellidae;FE;;;;;gap;
Mordellistena perparvula;Arthropoda;Insecta;Coleoptera;Mordellidae;FE;;;;;gap;
Mordellistena perroudi;Arthropoda;Insecta;Coleoptera;Mordellidae;FE;;;;;gap;
Mordellistena podlussanyi;Arthropoda;Insecta;Coleoptera;Mordellidae;FE;;;;;gap;
Mordellistena pontica;Arthropoda;Insecta;Coleoptera;Mordellidae;FE;;;;;gap;
Mordellistena praesagita;Arthropoda;Insecta;Coleoptera;Mordellidae;FE;;;;;gap;
Mordellistena pseudobrevicauda;Arthropoda;Insecta;Coleoptera;Mordellidae;BOLD,FE;18;18;1;;;591925
Mordellistena pseudohirtipes;Arthropoda;Insecta;Coleoptera;Mordellidae;BOLD,FE;6;6;0;;;1142277
Mordellistena pseudomicans;Arthropoda;Insecta;Coleoptera;Mordellidae;FE;;;;;gap;
Mordellistena pseudonana;Arthropoda;Insecta;Coleoptera;Mordellidae;FE;;;;;gap;
Mordellistena pseudoparvula;Arthropoda;Insecta;Coleoptera;Mordellidae;BOLD,FE;0;3;0;FE;gap;398277;559662
Mordellistena pseudopumila;Arthropoda;Insecta;Coleoptera;Mordellidae;BOLD,FE;12;13;1;;;1022722
Mordellistena pseudoreichei;Arthropoda;Insecta;Coleoptera;Mordellidae;FE;;;;;gap;
Mordellistena pseudorhennana;Arthropoda;Insecta;Coleoptera;Mordellidae;BOLD;;;;;gap;1023013
Mordellistena pseudorugipennis;Arthropoda;Insecta;Coleoptera;Mordellidae;FE;;;;;gap;
Mordellistena pumila;Arthropoda;Insecta;Coleoptera;Mordellidae;BOLD,FE;263;282;4;FE;;405309
Mordellistena purpurascens;Arthropoda;Insecta;Coleoptera;Mordellidae;BOLD,FE;57;58;2;;;591924
Mordellistena purpureonigrans;Arthropoda;Insecta;Coleoptera;Mordellidae;BOLD,FE;12;12;3;;;1022721
Mordellistena pygmaeola;Arthropoda;Insecta;Coleoptera;Mordellidae;BOLD,FE;4;4;1;;;318108
Mordellistena pyrenaea;Arthropoda;Insecta;Coleoptera;Mordellidae;BOLD,FE;8;9;0;;;766414
Mordellistena reichei;Arthropoda;Insecta;Coleoptera;Mordellidae;FE;;;;FE;gap;
Mordellistena reitteri;Arthropoda;Insecta;Coleoptera;Mordellidae;BOLD,FE;3;7;1;;;766415
Mordellistena rhenana;Arthropoda;Insecta;Coleoptera;Mordellidae;BOLD,FE;1;1;0;;;1066464
Mordellistena rufifrons;Arthropoda;Insecta;Coleoptera;Mordellidae;FE;;;;;gap;
Mordellistena rufospina;Arthropoda;Insecta;Coleoptera;Mordellidae;FE;;;;;gap;
Mordellistena rugipennis;Arthropoda;Insecta;Coleoptera;Mordellidae;FE;;;;;gap;
Mordellistena sajoi;Arthropoda;Insecta;Coleoptera;Mordellidae;FE;;;;;gap;
Mordellistena saxonica;Arthropoda;Insecta;Coleoptera;Mordellidae;FE;;;;;gap;
Mordellistena schatzmayri;Arthropoda;Insecta;Coleoptera;Mordellidae;FE;;;;FE;gap;
Mordellistena secreta;Arthropoda;Insecta;Coleoptera;Mordellidae;BOLD,FE;33;35;1;;;911509
Mordellistena semiferruginea;Arthropoda;Insecta;Coleoptera;Mordellidae;BOLD,FE;37;38;3;FE;;766413
Mordellistena sericata;Arthropoda;Insecta;Coleoptera;Mordellidae;FE;;;;;gap;
Mordellistena solarii;Arthropoda;Insecta;Coleoptera;Mordellidae;FE;;;;;gap;
Mordellistena stenidea;Arthropoda;Insecta;Coleoptera;Mordellidae;FE;;;;FE;gap;
Mordellistena stoeckleini;Arthropoda;Insecta;Coleoptera;Mordellidae;BOLD,FE;8;9;2;;;534535
Mordellistena subepisternalis;Arthropoda;Insecta;Coleoptera;Mordellidae;FE;;;;;gap;
Mordellistena taorminensis;Arthropoda;Insecta;Coleoptera;Mordellidae;FE;;;;;gap;
Mordellistena tarsata;Arthropoda;Insecta;Coleoptera;Mordellidae;BOLD,FE;22;22;1;;;1023016
Mordellistena teneriffensis;Arthropoda;Insecta;Coleoptera;Mordellidae;FE;;;;;gap;
Mordellistena tenuicornis;Arthropoda;Insecta;Coleoptera;Mordellidae;FE;;;;FE;gap;
Mordellistena thurepalmi;Arthropoda;Insecta;Coleoptera;Mordellidae;FE;;;;FE;gap;
Mordellistena thuringiaca;Arthropoda;Insecta;Coleoptera;Mordellidae;BOLD,FE;16;16;1;;;1023024
Mordellistena trilineata;Arthropoda;Insecta;Coleoptera;Mordellidae;FE;;;;;gap;
Mordellistena umbra;Arthropoda;Insecta;Coleoptera;Mordellidae;FE;;;;;gap;
Mordellistena variegata;Arthropoda;Insecta;Coleoptera;Mordellidae;BOLD,FE,iNat;17;28;4;FE;;318393
Mordellistena vogti;Arthropoda;Insecta;Coleoptera;Mordellidae;FE;;;;;gap;
Mordellistena wankai;Arthropoda;Insecta;Coleoptera;Mordellidae;FE;;;;;gap;
Mordellistena weisei;Arthropoda;Insecta;Coleoptera;Mordellidae;BOLD,FE;2;2;0;;;725907
Mordellistena wiebesi;Arthropoda;Insecta;Coleoptera;Mordellidae;BOLD,FE;5;5;0;;;1023022
Mordellistena zoltani;Arthropoda;Insecta;Coleoptera;Mordellidae;FE;;;;;gap;
Mordellistenochroa fallaciosa;Arthropoda;Insecta;Coleoptera;Mordellidae;FE;;;;FE;gap;
Mordellistenula anomala;Arthropoda;Insecta;Coleoptera;Mordellidae;FE;;;;;gap;
Mordellistenula lacinicollis;Arthropoda;Insecta;Coleoptera;Mordellidae;FE;;;;;gap;
Mordellistenula longipalpis;Arthropoda;Insecta;Coleoptera;Mordellidae;FE;;;;;gap;
Mordellistenula perrisi;Arthropoda;Insecta;Coleoptera;Mordellidae;BOLD,FE;6;7;1;FE;;785754
Mordellistenula planifrons;Arthropoda;Insecta;Coleoptera;Mordellidae;FE;;;;;gap;
Mordellistenula plutonica;Arthropoda;Insecta;Coleoptera;Mordellidae;BOLD,FE;2;2;0;;;1023019
Mordellochroa abdominalis;Arthropoda;Insecta;Coleoptera;Mordellidae;BOLD,FE,iNat;50;61;1;FE;;309957
Mordellochroa humerosa;Arthropoda;Insecta;Coleoptera;Mordellidae;BOLD,FE;16;16;1;FE;;1023020
Mordellochroa milleri;Arthropoda;Insecta;Coleoptera;Mordellidae;BOLD,FE,iNat;13;13;1;FE;;318264
Mordellochroa pulchella;Arthropoda;Insecta;Coleoptera;Mordellidae;FE;1;2;0;FE;;1160053
Mordellochroa tournieri;Arthropoda;Insecta;Coleoptera;Mordellidae;BOLD,FE;12;12;0;FE;;1023021
Pseudodellamora championi;Arthropoda;Insecta;Coleoptera;Mordellidae;FE;;;;;gap;
Pseudodellamora distinguenda;Arthropoda;Insecta;Coleoptera;Mordellidae;FE;;;;;gap;
Stenalia araxicola;Arthropoda;Insecta;Coleoptera;Mordellidae;FE;;;;FE;gap;
Stenalia ascaniaenovae;Arthropoda;Insecta;Coleoptera;Mordellidae;FE;;;;;gap;
Stenalia balcanica;Arthropoda;Insecta;Coleoptera;Mordellidae;FE;;;;;gap;
Stenalia bisecta;Arthropoda;Insecta;Coleoptera;Mordellidae;FE;;;;;gap;
Stenalia brunneipennis;Arthropoda;Insecta;Coleoptera;Mordellidae;FE;;;;;gap;
Stenalia dolini;Arthropoda;Insecta;Coleoptera;Mordellidae;FE;;;;;gap;
Stenalia escherichi;Arthropoda;Insecta;Coleoptera;Mordellidae;FE;;;;FE;gap;
Stenalia gracilicornis;Arthropoda;Insecta;Coleoptera;Mordellidae;FE;;;;;gap;
Stenalia graeca;Arthropoda;Insecta;Coleoptera;Mordellidae;FE;;;;;gap;
